1, VFR HUD airspeed = 0, groundspeed = 0, heading = 293, throttlePercentage = 30, altitude = 0.01, climb = -0.01
111, VFR HUD airspeed = 0.23, groundspeed = 0.23, heading = 217, throttlePercentage = 65, altitude = 15.79, climb = -0.3
112, VFR HUD airspeed = 0.34, groundspeed = 0.34, heading = 227, throttlePercentage = 53, altitude = 15.84, climb = 0.04
113, VFR HUD airspeed = 0.34, groundspeed = 0.34, heading = 227, throttlePercentage = 53, altitude = 15.84, climb = 0.04
115, VFR HUD airspeed = 0.34, groundspeed = 0.34, heading = 224, throttlePercentage = 59, altitude = 15.68, climb = -0.05
117, VFR HUD airspeed = 0.41, groundspeed = 0.41, heading = 227, throttlePercentage = 54, altitude = 15.69, climb = 0.05
119, VFR HUD airspeed = 0.1, groundspeed = 0.1, heading = 225, throttlePercentage = 60, altitude = 15.58, climb = -0.03
121, VFR HUD airspeed = 0.62, groundspeed = 0.62, heading = 224, throttlePercentage = 56, altitude = 15.46, climb = 0.34
122, VFR HUD airspeed = 0.62, groundspeed = 0.62, heading = 224, throttlePercentage = 56, altitude = 15.46, climb = 0.34
123, VFR HUD airspeed = 0.5, groundspeed = 0.5, heading = 226, throttlePercentage = 55, altitude = 15.71, climb = -0.02
124, VFR HUD airspeed = 0.52, groundspeed = 0.52, heading = 224, throttlePercentage = 57, altitude = 15.77, climb = -0.19
126, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 224, throttlePercentage = 62, altitude = 15.58, climb = -0.02
127, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 224, throttlePercentage = 62, altitude = 15.58, climb = -0.02
128, VFR HUD airspeed = 0.86, groundspeed = 0.86, heading = 223, throttlePercentage = 57, altitude = 15.55, climb = 0.24
130, VFR HUD airspeed = 1.12, groundspeed = 1.12, heading = 219, throttlePercentage = 59, altitude = 15.61, climb = 0.06
131, VFR HUD airspeed = 1.58, groundspeed = 1.58, heading = 217, throttlePercentage = 57, altitude = 15.73, climb = -0.01
133, VFR HUD airspeed = 0.9, groundspeed = 0.9, heading = 220, throttlePercentage = 64, altitude = 15.75, climb = -0.21
134, VFR HUD airspeed = 0.81, groundspeed = 0.81, heading = 228, throttlePercentage = 55, altitude = 15.86, climb = -0.11
136, VFR HUD airspeed = 0.72, groundspeed = 0.72, heading = 225, throttlePercentage = 64, altitude = 15.69, climb = -0.09
137, VFR HUD airspeed = 0.72, groundspeed = 0.72, heading = 225, throttlePercentage = 64, altitude = 15.69, climb = -0.09
138, VFR HUD airspeed = 0.69, groundspeed = 0.69, heading = 226, throttlePercentage = 57, altitude = 15.77, climb = -0.04
139, VFR HUD airspeed = 0.69, groundspeed = 0.69, heading = 226, throttlePercentage = 57, altitude = 15.77, climb = -0.04
140, VFR HUD airspeed = 0.43, groundspeed = 0.43, heading = 222, throttlePercentage = 61, altitude = 15.66, climb = -0.03
141, VFR HUD airspeed = 0.14, groundspeed = 0.14, heading = 222, throttlePercentage = 64, altitude = 15.55, climb = 0.03
142, VFR HUD airspeed = 0.14, groundspeed = 0.14, heading = 222, throttlePercentage = 64, altitude = 15.55, climb = 0.03
143, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 220, throttlePercentage = 60, altitude = 15.65, climb = 0.08
144, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 220, throttlePercentage = 60, altitude = 15.65, climb = 0.08
145, VFR HUD airspeed = 0.51, groundspeed = 0.51, heading = 222, throttlePercentage = 66, altitude = 15.66, climb = -0.09
146, VFR HUD airspeed = 0.45, groundspeed = 0.45, heading = 219, throttlePercentage = 60, altitude = 15.76, climb = -0.02
147, VFR HUD airspeed = 0.45, groundspeed = 0.45, heading = 219, throttlePercentage = 60, altitude = 15.76, climb = -0.02
148, VFR HUD airspeed = 0.22, groundspeed = 0.22, heading = 220, throttlePercentage = 64, altitude = 15.7, climb = -0.06
149
